S/No,Hausa,Polarity,English
11825,tsutsa ce a jiki,neutral,it is a worm in the body
11826,tuba mai kyau,positive,a good repentance
11827,tuba shine tubali,neutral,the brick is brick
11828,tufa ce mai kyau,positive,it is a beautiful dress
11829,tufafi da yawa,neutral,a lot of clothes
11830,tufafi mara kyau,negative,bad clothes
11831,tufafi masu sheki,positive,shiny clothes
11832,tufafi masu tsada,neutral,expensive clothes
11833,tufafi na,neutral,my clothes
11834,tufafi ne,neutral,it is clothing
11835,tufafin datti,negative,dirty clothes
11836,tufafin maza,neutral,men's clothing
11837,tufafin sawa,neutral,the dress
11838,tufatarwa,neutral,dress
11839,tuffa 'ya'yan itace ne,neutral,the apple is a fruit
11840,tukwane ne masu kyau,positive,they are beautiful pots
11841,tukwici ne,neutral,it is a tip
11842,tulin shara,negative,alots of garbage
11843,tumatir yana da girma,neutral,the tomato is large
11844,tun daga nan ya kasance,neutral,it has been since 
11845,tunani ne,neutral,it's reflection
11846,tunanin magoya bayansa,negative,the incitement of the supporters
11847,tunanin mahaifinsu,neutral,their father's memory
11848,tunatar da ku,neutral,remind you
11849,tunatar da ni,neutral,remind me
11850,tura don turawa,neutral,push to push
11851,tura mahaukaci,negative,pushing crazy
11852,tura masu laifi,negative,push the criminals
11853,tura mugayen mutane,negative,push the bad guys
11854,tura na gaba,neutral,pushing the next ones
11855,tura wayoyi,neutral,push wires
11856,turanci ne,neutral,it is english
11857,turi ne,negative,it's fumes
11858,turmi mai kyau,positive,good mortar
11859,tushe ne mai kyau,positive,it is a good source
11860,tushen ilimi,negative,knowledge base
11861,tushen shi duka,neutral,the root of it all
11862,tushen shine,neutral,the base is
11863,tushen wani abu,neutral,the root of something
11864,tushen yana karami,negative,the bunk is small
11865,tushen zazzabin cizon sauro,negative,malaria root
11866,twin jin dadi,neutral,twin pleasures
11867,uba mai hazaka,positive,a gifted father
11868,uba mai taimako,neutral,a helpful father
11869,uba mai tausayi,neutral,a compassionate father
11870,uba mai tsari,positive,an organized father
11871,uba na,neutral,my father
11872,uba ne mai aminci,positive,he is a faithful father
11873,uban banza,negative,bad fathers
11874,uban karimci,positive,a generous father
11875,uban marayu,positive,the father of the orphans
11876,uban shine uba,neutral,the father is the father
11877,ubangiji ya bayar,positive,the almighty gave
11878,umarnin kotu mai aiwatarwa,neutral,enforceable court order
11879,ungozoma ce mai kyau,positive,she is a good midwife
11880,ungozoma mai wayo,positive,a clever midwife
11881,ungozoma ne nagari,positive,they are good midwives
11882,ungozoma ta rasu,negative,the midwife died
11883,unguwar mafarauta,neutral,the ward of hunters
11884,uniform ne,neutral,it was a uniform
11885,united ce,neutral,it is united
11886,up da mugunta,negative,up with evil
11887,uwa ce,neutral,mother
11888,uwa mai farin ciki,positive,a happy mother
11889,uwa mai karfi,positive,a strong mother
11890,uwa mai karimci,positive,a generous mother
11891,uwa mai tausayi,neutral,a compassionate mother
11892,uwa ta,neutral,my mother
11893,uwa ta fashe,negative,mother burst out
11894,uwa ta rasu,negative,mother died
11895,uwar gulma,negative,the mother of gossip
11896,uwar rana,negative,sunset
11897,uwar ta kumbura,negative,the mother is swollen
11898,uwar yaron,neutral,the mother of the child
11899,uwargida ce,neutral,she is mistress
11900,uzuri ne kawai,negative,it is just an excuse
11901,wa'azin gaskiya,positive,sermons of truth
11902,wace hanya ce,neutral,what a way
11903,wace itace?,neutral,which tree?
11904,wacece uwa,neutral,who is mother
11905,wacece wancan?,neutral,who is that?
11906,wadancan basira ne,positive,those are the talents
11907,wadancan dabarun dinki,positive,rich sewing skills
11908,wadancan ilimin mutane,positive,rich knowledge of people
11909,wadancan su ne,neutral,those are those
11910,wadanda aka yi wa sata,negative,victims of theft
11911,wadanda ake zargi da sata,negative,suspects of theft
11912,wadanda ba su tsoron allah,neutral,those who do not fear god
11913,wadanda ke fama da aiki,neutral,those who suffer from work
11914,wadanda suka mutu,negative,casualty deaths
11915,wadanda suke aiki sun mutu,negative,those who are employed are dead
11916,wadannan cututtuka,negative,these diseases
11917,wadannan nasarorin,positive,these achievements
11918,wadannan su ne mutanen,neutral,those are the people
11919,wadannan wasu abubuwa ne,neutral,these are some things
11920,wadar take mai dadi,positive,sweet title track
11921,wadata ce,positive,it's contentment
11922,wadata ta kwana,positive,prosperity is overnight
11923,wadatar basirar zamantakewa,positive,rich social skills
11924,wadatar kai,positive,self-sufficiency
11925,wadatar kai ce,positive,it is self-sufficiency
11926,waé—annan gicciye ne marasa kyau,negative,they are bad crosses
11927,wahala ce,negative,it's hardship
11928,wahala da rashin 'yanci,negative,suffering and lack of freedom
11929,wahala iri-iri,negative,all kinds of difficulties
11930,wahalar sarrafawa,negative,difficulty controlling
11931,wahalarsa ce,negative,his suffering
11932,wajibi ne,neutral,it was an obligation
11933,wajibi ne a aiwatar da shi,neutral,it is necessary to implement
11934,wajibi ne a bunkasa,neutral,it is necessary to develop
11935,wajibi ne a cika,neutral,it's necessary to fill
11936,wajibi ne a daidaita,neutral,it is necessary to adjust
11937,wajibi ne a fenti,neutral,it is necessary to paint
11938,wajibi ne a gabatar da shi,neutral,it is necessary to introduce
11939,wajibi ne a gamsu,neutral,it is necessary to satisfy
11940,wajibi ne a himmatu,neutral,it is necessary to diligently
11941,wajibi ne a ilmantar,neutral,it is necessary to educate
11942,wajibi ne a kafa,neutral,it is necessary to establish
11943,wajibi ne a kara kuzari,neutral,it is necessary to be invigorate
11944,wajibi ne a kashe,negative,it is necessary to kill
11945,wajibi ne a kiyaye,neutral,it is necessary to maintain
11946,wajibi ne a kwadaitar,neutral,it is necessary to urge
11947,wajibi ne a mayar,neutral,it is necessary to restore
11948,wajibi ne a rage,negative,it's necessary to detract
11949,wajibi ne a sake sabunta shi,neutral,it is necessary to be rejuvenated
11950,wajibi ne a sha,neutral,it's necessary to undergo
11951,wajibi ne a shigar,neutral,it is necessary to install
11952,wajibi ne a tafasa ruwan,neutral,it is necessary to boil the water
11953,wajibi ne a wanke,neutral,it is necessary to wash
11954,wajibi ne a warke,neutral,it is necessary to heal
11955,wajibi ne a yi barci,neutral,it is necessary to sleep
11956,wajibi ne a yi zalunci,negative,it's necessary to brutalize
11957,wajibi ne don bukata,neutral,it is necessary for demand
11958,wajibi ne don gamsarwa,neutral,it's necessary to satisfy
11959,wajibi ne don ginawa,neutral,it is necessary to construct
11960,wajibi ne don girma,neutral,it is necessary to grow
11961,wajibi ne don karfafawa,neutral,it is necessary to energize
11962,wajibi ne don konewa,neutral,it is necessary to combust
11963,wajibi ne don sake farfadowa,neutral,it is necessary to rejuvenation
11964,waka ce,neutral,it is a poem
11965,waka mai dadi,positive,a sweet song
11966,waka waka ce,positive,singing is a song
11967,wakar addini ce,neutral,it is a religious song
11968,wakar kida ce,neutral,it's a musical
11969,wakar labari ce,neutral,the song is a story
11970,wakar ta shafi wani abu ne,neutral,the poem is about something
11971,wakar tana da waka,neutral,the track has a track
11972,wakar tana game da wani abu,neutral,the song is about something
11973,wakar waka ce,neutral,the song is a song
11974,wakar yabo ce,neutral,it is a song of praise
11975,wake ne,neutral,it's a bean
11976,wake ne mai tsafta,positive,it is clean beans
11977,wakilci akan karya,negative,representation on lies
11978,wakilci ake yi,neutral,representation is made
11979,wakili wakili ne,neutral,the agent is an agent
11980,wakilin mutum ne,neutral,the representative is a person
11981,wakilin nasara,positive,a successful steward
11982,wakoki ne da aka rubuta,neutral,they are written songs
11983,walda mai taimako,positive,helpful welder
11984,waliyai ne,positive,saints
11985,wanda aka ambata,neutral,the one mentioned
11986,wanda aka binne a mutu,negative,the one who was buried in death
11987,wanda aka duba,neutral,the checkered one
11988,wanda aka hana,negative,the deprived
11989,wanda aka saki,negative,the freed
11990,wanda aka tsare,negative,detainee
11991,wanda aka yi,neutral,which was done
11992,wanda aka zalunta,negative,the one who was harassed
11993,wanda aka zubar,neutral,the aborted
11994,wanda ake bi bashi,negative,the indebted
11995,wanda ake girmamawa,neutral,to sew
11996,wanda ake so,positive,the one who is loved
11997,wanda ake tuhuma,neutral,the defendant
11998,wanda ake zargi,negative,the suspect
11999,wanda ba a bayyana ba,neutral,which is not revealed
12000,wanda ba a ci nasara ba,neutral,the one who is not defeated
12001,wanda ba a haifa ba,neutral,the unborn
12002,wanda ba a iya gani,neutral,the invisible one
12003,wanda ba a iya gyarawa,neutral,the one that cannot be fixed
12004,wanda ba a iya lissafinsa ba,negative,the unaccountable
12005,wanda ba a iya tantancewa,neutral,one that cannot be determined
12006,wanda ba a kara ba,neutral,which is not added
12007,wanda ba a kayyade ba,neutral,which is not specified
12008,wanda ba a sani ba,neutral,unfamiliar
12009,wanda ba a taba ba,neutral,the one who is not touched
12010,wanda ba a yi ba,neutral,which is not done
12011,wanda ba haka ba,neutral,the one who is not
12012,wanda ba shi da iko,neutral,the one who has no power
12013,wanda ba shi da mahimmanci,negative,which is not important
12014,wanda ba ya rabuwa,neutral,the one who is inseparable
12015,wanda ba za a iya aiki da shi ba,neutral,one that cannot be worked with
12016,wanda ba za a iya amfani da shi ba,neutral,which cannot be used
12017,wanda ba za a iya aunawa ba,neutral,who cannot be measured
12018,wanda ba za a iya bambanta ba,neutral,which cannot be distinguished
12019,wanda ba za a iya biya ba,neutral,which cannot be paid
12020,wanda ba za a iya cin nasara ba,neutral,one that cannot be overcome
12021,wanda ba za a iya dakatarwa ba,neutral,the one that cannot be stopped
12022,wanda ba za a iya fahimta ba,neutral,which cannot be understood
12023,wanda ba za a iya gyarawa ba,neutral,which cannot be fixed
12024,wanda ba za a iya haifuwa ba,neutral,one that cannot be reproduced
12025,wanda ba za a iya kashe shi ba,negative,one that cannot be killed
12026,wanda ba za a iya ragewa ba,neutral,which cannot be reduced
12027,wanda ba za a iya saninsa ba,neutral,the one who cannot be known
12028,wanda ba za a iya tallafawa ba,neutral,which cannot be supported
12029,wanda ba za a iya warware shi ba,neutral,which cannot be resolved
12030,wanda ba zai iya magance shi ba,neutral,who cannot deal with it
12031,wanda ba zai karye ba,neutral,the one that will not break
12032,wanda ba zai yiwu ba,negative,which is impossible
12033,wanda ba zai yiwu ba sosai,positive,which is not possible very well
12034,wanda babu makawa,neutral,which is inevitable
12035,wanda babu shi,neutral,the one who does not exist
12036,wanda bai aminta ba,negative,the one who is not trusted
12037,wanda bai burge ba,negative,who is not impressed
12038,wanda bai cancanta ba,neutral,the one who does not deserve it
12039,wanda bai dace ba,neutral,which is inappropriate
12040,wanda bai damu ba,negative,who does not care
12041,wanda bai halatta ba,neutral,the one who is not allowed
12042,wanda bai kamata ba,neutral,which should not be
12043,wanda bai kamu ba,positive,the one who is not addicted
12044,wanda bai tsira ba,neutral,the one who did not survive
12045,wanda bashi da labari,neutral,the one who has no story
12046,wanda baya bin ka'ida ko doka,neutral,one who does not follow the rules or the law
12047,wanda baya canzawa,neutral,the one who does not change
12048,wanda baya karya,neutral,the one that does not break
12049,wanda baya mantuwa,neutral,the one who does not forget
12050,wanda baya tabawa,neutral,the one who does not touch
12051,wanda ke da saurin kamuwa da cuta,negative,who is prone to disease
12052,wanda ya bada oda,neutral,the one who gives the order
12053,wanda ya cancanta,neutral,the one who deserves it
12054,wanda ya ci lambar yabo,neutral,award winner
12055,wanda ya ci su,neutral,who defeated them
12056,wanda ya dade yana jinya,negative,the one who has been sick for a long time
12057,wanda ya jikkata,neutral,the one who was injured
12058,wanda ya kafa,neutral,the founder
12059,wanda ya kafa mutum ne,neutral,the founder was a person
12060,wanda ya kammala karatun digiri,neutral,the graduate
12061,wanda ya kammala karatun mutum ne,neutral,the graduate is a person
12062,wanda ya kasa aiki,neutral,the one who could not work
12063,wanda ya kasa daidaitawa,neutral,the one who cannot adjust
12064,wanda ya kasa jurewa,neutral,the one who cannot stand it
12065,wanda ya koma karya,negative,the one that turns into a lie
12066,wanda ya kunna wuta,negative,the one who sets fire
12067,wanda ya musanta duka,negative,the one who denies beating
12068,wanda ya rataye mutane,negative,the one who hangs people
12069,wanda ya shigo,neutral,the one who came in
12070,wanda ya tsira yana raye,neutral,the survivor is alive
12071,wanda ya yi,neutral,the one who did it
12072,wanda ya yi fice,positive,the excelled
12073,wanda ya yi rauni,negative,a casualty
12074,wanda ya zagi,positive,the one who is sarcastic
12075,wanda yace,neutral,the one who said
12076,wanda yafi qarfinsu duka,positive,the strongest of them all
